,name,amenity,lat,lon,neighbourhood
1205,Starbucks,cafe,49.2680641,-123.1567004,Kitsilano
1206,MacFalafel,fast_food,49.268165,-123.1469026,Kitsilano
1207,McDonald's,fast_food,49.2683578,-123.1595125,Kitsilano
1208,WEEDS,cafe,49.2693988,-123.1459745,Kitsilano
1212,49th Parallel & Lucky's Doughnuts Cafe,cafe,49.2680344,-123.1548186,Kitsilano
1213,Jam Café,cafe,49.2682808,-123.1540137,Kitsilano
1214,Glory Juice,fast_food,49.2680301,-123.1545679,Kitsilano
1215,Jitters Cafe,cafe,49.2679451,-123.1494499,Kitsilano
1216,Doner Kebab,fast_food,49.267943,-123.1492741,Kitsilano
1217,Rain or Shine,ice_cream,49.2679235,-123.1486541,Kitsilano
1218,Sejuiced,fast_food,49.267943,-123.1493262,Kitsilano
1219,Crêpe Café,cafe,49.2682195,-123.1508793,Kitsilano
1224,Number e Food,cafe,49.2777096,-123.1309686,Downtown
1226,Iktsuarpok Coffee Stand,cafe,49.2812059,-123.104529,Downtown
1227,Sweetery Cafe+Dessert,cafe,49.2680316,-123.1115966,Mount Pleasant
1230,Rooster's Ice Cream Bar,ice_cream,49.2626043,-123.0823703,Mount Pleasant
1231,The Pizza King,fast_food,49.2621894,-123.0741944,Kensington-Cedar Cottage
1233,Dylan's,cafe,49.2194146,-123.1182638,Oakridge
1234,,vending_machine,49.2638113,-123.1049227,Mount Pleasant
1236,Ding Tea,cafe,49.2683908,-123.043984,Hastings-Sunrise
1253,The Whip,bar,49.2655902,-123.1003893,Mount Pleasant
1260,Burger King,fast_food,49.2811705,-123.1204114,Downtown
1261,Starbucks,cafe,49.274665,-123.122111,Downtown
1263,Papa John's,fast_food,49.2332549,-123.0347948,Killarney
1265,Devil's Elbow,bar,49.2802664,-123.1097483,Downtown
1266,Jam Cafe,cafe,49.2803078,-123.1096811,Downtown
1274,,vending_machine,49.2785036,-123.1226093,Downtown
1275,,vending_machine,49.2781965,-123.122954,Downtown
1278,Le Petit Belge,cafe,49.2789851,-123.1164249,Downtown
1280,The Black Frog,pub,49.2845626,-123.1084807,Downtown
1281,Trees Organic Coffee,cafe,49.2845775,-123.1093205,Downtown
1282,Bean Around The World,cafe,49.2825011,-123.1092466,Downtown
1284,McDonald's,fast_food,49.2847649,-123.1210612,Downtown
1285,Tim Hortons,cafe,49.2848332,-123.1209459,Downtown
1286,Uncle Fatih's,fast_food,49.2624776,-123.0702461,Grandview-Woodland
1287,McDonald's,fast_food,49.2617463,-123.0696025,Kensington-Cedar Cottage
1288,Quiznos,fast_food,49.2616597,-123.0696079,Kensington-Cedar Cottage
1289,Fresh Slice,fast_food,49.2615906,-123.0696065,Kensington-Cedar Cottage
1290,Starbucks,cafe,49.2620273,-123.0700397,Kensington-Cedar Cottage
1291,JJ Bean,cafe,49.2649351,-123.0694975,Grandview-Woodland
1292,Park Drive,bar,49.2683984,-123.0698801,Grandview-Woodland
1293,Cafe Calabria,cafe,49.2689086,-123.0698532,Grandview-Woodland
1294,Starbucks,cafe,49.2688079,-123.069416,Grandview-Woodland
1295,Continental Coffee,cafe,49.2685474,-123.0694037,Grandview-Woodland
1296,Falconetti's,pub,49.2684563,-123.0694073,Grandview-Woodland
1297,Starbucks,cafe,49.2875394,-123.1200147,Downtown
1298,Red Burrito,fast_food,49.2694887,-123.0694438,Grandview-Woodland
1299,Fire Pizza,fast_food,49.2673932,-123.0694555,Grandview-Woodland
1300,4 Brothers' Pizza,fast_food,49.267464,-123.0694548,Grandview-Woodland
1301,St Augustine's,pub,49.2637854,-123.0695196,Grandview-Woodland
1303,Dive In Dessert Cafe,cafe,49.2694342,-123.0694395,Grandview-Woodland
1304,Hoi An Cafe,cafe,49.2388325,-123.0650972,Kensington-Cedar Cottage
1309,,pub,49.2037034,-123.1334192,Marpole
1310,Oriole Cafe,cafe,49.204059,-123.1342853,Marpole
1311,Pane From Heaven,cafe,49.270909,-123.147638,Kitsilano
1313,Marpole Curling Club Cafe,cafe,49.2063346,-123.1235828,Marpole
1315,Dairy Queen,fast_food,49.230899,-123.0907977,Sunset
1316,Circus Play Cafe,cafe,49.2592978,-123.0704729,Kensington-Cedar Cottage
1317,12 Kings Pub,pub,49.2603011,-123.0966837,Mount Pleasant
1321,Café Crêpe Express,cafe,49.2836676,-123.1236177,West End
1322,Subway,fast_food,49.2696735,-123.1459612,Kitsilano
1323,Starbucks,cafe,49.2619003,-123.1383698,Fairview
1324,Waves,cafe,49.2805086,-123.0999462,Downtown
1325,Starbucks,cafe,49.2878625,-123.1239772,Downtown
1326,Gram Cafe,cafe,49.2429006,-123.0608742,Kensington-Cedar Cottage
1329,The Hastings Warehouse,pub,49.2821875,-123.1090478,Downtown
1330,Malone's,pub,49.2840215,-123.1141074,Downtown
1332,Electric Bicycle Brewing,bar,49.2672724,-123.1042375,Mount Pleasant
1338,Hachibei 八兵衛,fast_food,49.2568861,-123.121518,South Cambie
1339,Grade 'A' Cafe,fast_food,49.277457,-123.1259686,Downtown
1340,Mr. Greek,fast_food,49.2774975,-123.1259158,Downtown
1341,Sidecar,pub,49.277605,-123.1257615,Downtown
1342,Donair Dude,fast_food,49.2778308,-123.1254331,Downtown
1343,Cabana,bar,49.2776684,-123.1256767,Downtown
1344,TAKO,fast_food,49.278957,-123.1081511,Downtown
