,name,amenity,lat,lon,neighbourhood
224,The Diamond,bar,49.2831604,-123.1040262,Downtown
225,Six Acres,pub,49.2833904,-123.1044226,Downtown
230,The Liberty Distillery,bar,49.2704154,-123.1346411,Fairview
232,Resurrection Distillery and Lounge,bar,49.2820577,-123.0709121,Grandview-Woodland
233,Finfolk,pub,49.2820425,-123.0723691,Grandview-Woodland
234,Carlos O`Bryan's Neighborhood Pub,pub,49.2653352,-123.1453811,Fairview
235,Browns Crafthouse,pub,49.2838402,-123.1138503,Downtown
236,Parallel 49 Tasting Room & Beer Store,bar,49.2837876,-123.0641858,Grandview-Woodland
237,Parallel 49 Street Kitchen,pub,49.2837887,-123.0643214,Grandview-Woodland
239,The Junction,bar,49.2807293,-123.1323456,West End
243,The Three Brits Public House,pub,49.2870731,-123.1418005,West End
244,The Moose,pub,49.2794324,-123.1235884,Downtown
245,Guilt & Co,pub,49.2836569,-123.1041219,Downtown
246,No. 5 Orange,bar,49.2830338,-123.0998209,Downtown
248,1181,bar,49.281603,-123.1328977,West End
249,Pumpjack,bar,49.2814951,-123.1327426,West End
251,Browns Social House,pub,49.2797733,-123.1130766,Downtown
252,Yaletown Brewing Company,pub,49.2754345,-123.1209961,Downtown
253,Bayside Lounge,bar,49.2872658,-123.1415278,West End
258,The Den,bar,49.2874645,-123.1295818,West End
259,Dublin Calling,pub,49.2801019,-123.1213535,Downtown
260,Ventura Room,bar,49.2796906,-123.1130707,Downtown
261,Red Racer Taphouse,pub,49.2769066,-123.1154049,Downtown
262,Uncle Abe's,bar,49.2581178,-123.1009494,Mount Pleasant
263,The Emerald,bar,49.2801961,-123.0974652,Strathcona
270,Wise Club & Hall,pub,49.2772898,-123.0660472,Grandview-Woodland
271,Cedar Cottage Pub,pub,49.2513484,-123.0777934,Kensington-Cedar Cottage
272,Darby's,pub,49.2814612,-123.1051707,Downtown
274,Biltmore Cabaret,bar,49.2603834,-123.096422,Mount Pleasant
284,Red Card Sports Bar + Eatery,bar,49.2793791,-123.120222,Downtown
285,Metropole,bar,49.2825107,-123.1068062,Downtown
286,Grand Union Hotel,pub,49.2817874,-123.1067495,Downtown
287,Main Street Tasting Lounge,bar,49.2646995,-123.0994151,Mount Pleasant
291,Red Room,bar,49.2842279,-123.1113795,Downtown
292,Twelve West,bar,49.2770411,-123.1266332,Downtown
293,Milestones,pub,49.2639564,-123.1152029,Fairview
294,Kingston,pub,49.280708,-123.1172196,Downtown
295,Fountainhead Pub,pub,49.279654,-123.12973,West End
297,The Brighton,bar,49.2812751,-123.0551908,Hastings-Sunrise
299,Bismarck,bar,49.2804152,-123.1074119,Downtown
300,Caffe Barney,bar,49.2592073,-123.1389048,Fairview
303,Andina Tasting Lounge,pub,49.2834684,-123.0736709,Grandview-Woodland
308,Pub 340,bar,49.2828092,-123.1092642,Downtown
309,The Narrow Lounge,pub,49.2683292,-123.1003762,Mount Pleasant
310,Two Parrots,bar,49.2769507,-123.1261599,Downtown
313,Ballyhoo Public House,pub,49.2822225,-123.1241191,Downtown
315,Granville Island Brewing Taproom,pub,49.2705549,-123.1356713,Fairview
316,Blarney Stone,pub,49.2827946,-123.1041486,Downtown
317,The New Oxford,bar,49.2757085,-123.1222873,Downtown
318,The Keefer,bar,49.2796198,-123.1013261,Downtown
321,The Wolf and Hound,pub,49.2644903,-123.1842004,Kitsilano
322,Manchester Public Eatery,pub,49.2639431,-123.1492041,Kitsilano
323,Lennox Pub,pub,49.281145,-123.119819,Downtown
